,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
30,HP,TPN-Q222,Intel Core i3 Family 1115G4 3 GHz,Intel UHD Graphics,32 GB,15.6 Inches,1366 x 768 pixels,1 TB SSD,Windows 11 Home,3.75 Pounds,470.0
31,HP,TPN-I130,Intel Celeron N N4120 2.6 GHz,Intel UHD Graphics,8 GB,14 Inches,1366 x 768 pixels,64 GB SSD,Windows 11 Home,3.24 Pounds,228.0
32,acer,Laptop,Intel Core i3 i3-N305 3.8 GHz,Intel UHD Graphics,8 GB,14 Inches,1920 x 1200 pixels,128 GB SSD,Windows 11 S,3.4 Pounds,412.82
33,Dell,Inspiron,Intel Core i5-1035G1 1 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11,1.7 Kilograms,483.99
34,acer,Aspire 3 A317,Intel Core i5 Family Intel Core i5-1135G7 2.6 GHz,Intel Iris Xe Graphics,8 GB,17.3 Inches,1920 x 1080,256 GB SSD,Windows 11 Home,5.73 Pounds,599.0
35,acer,A315-58-350L,Intel Core i3 I3 11th gen 4.1 GHz,Intel,8 GB,15.6,1920 x 1080 pixels,256 GB SSD,Windows 11 Home,5.56 Pounds,300.0
36,ROKC,,Intel Pentium Intel Pentium Silver N6000 1.1 GHz,Intel,20 GB,15.6 Inches,1920 x 1080 pixels,1152 GB SSD,Windows 11,3.5 Pounds,389.99
37,HP,14-dq0054dx,Intel Celeron N4000 Intel Celeron N4120 1.1 GHz,Intel,16 GB,14 Inches,1366 x 768 pixels,64 GB SSD,Windows 11,0.6 Ounces,399.99
38,ASUS,Vivobook 16,Intel Core i5 Family Intel Core i5-1235U 2.4 GHz,Intel Iris Xe Graphics,16 GB,16 Inches,1920 x 1200,512 GB SSD,Windows 11 Pro,4.1 Pounds,689.0
39,acer,Acer Aspire 3,AMD Ryzen 5 AMD Ryzen 5 7520U 2.8 GHz,AMD Radeon,8 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.92 Pounds,424.49
40,ASUS,ASUS Chromebook CX1,Intel Celeron N3350 Intel Celeron N3350 2.4,Intel,8 GB,15.6 Inches,1920 x 1080 pixels,64 GB SSD,Chrome OS,4 Pounds,249.99
41,Lenovo,IdeaPad,Intel Core i3 Family 1115G4 3 GHz,Intel UHD Graphics,20 GB,14 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,3.3 Pounds,364.0
42,HP,HP Stream Laptop 11-ak0030nr,Intel Celeron N4020 N4020 1.1 GHz,Intel UHD Graphics 600,4 GB,11.6 Inches,1366 x 768,64 GB Emmc,Windows 11 Home,2.37 Pounds,219.25
43,HP,Notebook,AMD Ryzen 3 3250U Ryzen 3 3.5 GHz,Intel UHD Graphics,16 GB,14 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11,3.2 Pounds,365.0
44,Lenovo,IdeaPad 3,Intel Core i3 Family 81X700FUUS 3 GHz,Intel UHD Graphics 620,8 GB,14 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11 S,3.31 Pounds,264.0
45,HP,17-CN000,Intel Pentium Intel Pentium Silver N5030 1.1 GHz,Intel UHD Graphics,16 GB,17.3 Inches,1600 x 900,512 GB SSD,Windows 11 Home,,429.0
46,Lenovo,Laptop,AMD Core i5 Ryzen 5 5625U 2.4 GHz,Intel Iris Xe Graphics,12 GB,15.6,1920 x 1080 pixels,256 GB SSD,Windows,1650 Grams,478.99
47,Dell,Latitude,Intel Core i5 i5-1335U 4.6 GHz,Intel,8 GB,15.6 Inches,1366 x 768,256 GB SSD,Windows 11 Pro,6.2 Pounds,669.99
48,Lenovo,82RK00YDUS,Intel Core i7 i7-1255U 4.7 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,,Windows 11 Home,4 Pounds,532.49
49,Dell,Latitude 5420,Intel Core i5 Core i5-1145G7 2.6 GHz,Intel,16 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 10 Pro,,999.97
50,acer,Laptop,Intel Core i3 i3-N305 3.8 GHz,Intel UHD Graphics,8 GB,14 Inches,1920 x 1200 pixels,128 GB SSD,Windows 11 S,3.4 Pounds,412.82
51,ROKC,Ideapad 3,Intel Intel Core i5 Intel Core i5-1135G7 2.4 GHz,Intel,20 GB,15.6 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3.74 Pounds,599.99
52,SAMSUNG,"Galaxy Book2 Pro 13.3"" i5/8G/256G Graphite",Intel Intel Core i5 1240P 1.7 GHz,Intel,8 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11 Home,1.9 Pounds,838.05
53,DELL,Inspiron,AMD Ryzen 5 AMD Ryzen 5 5500U 2.1 GHz,AMD,32 GB,15.6 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3.71 Pounds,599.99
54,Dell,Dell Latitude 5490 Laptop,Intel Intel Core i5 Core i5-7300U 2.6 GHz,Core i5-7300U,16 GB,14 Inches,1366 x 768 pixels,512 GB SSD,Windows 10 Pro,,212.0
55,Lenovo,Ideapad 1 14 Laptop,Intel Celeron N4020 Celeron N4020 1.1,AMD Radeon R5,,14,1920 x 1080 pixels,,Windows 10,3.09 Pounds,184.0
56,Lenovo,"Ideapad 1 15"" - 82R400EMUS",AMD AMD Ryzen 5 5500U AMD Ryzen 5 5500U 2.1 GHz,Intel HD Graphics 400,8 GB,15.6 Inches,1920 x 1080 pixels,,Windows 11 Home,3.5 Pounds,379.99
57,HP,HP,Intel Core i5 8250U 1.6 GHz,Intel UHD Graphics 620,16 GB,14.1 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,1.5 Kilograms,263.04
58,HP,HP Laptop,AMD Ryzen 3 5300U 3.8 GHz,AMD Radeon,12 GB,15.6 Inches,1366 x 768 pixels,512 GB SSD,Windows 11 Home,3.75 Pounds,357.88
59,ASUS,L510MA-DS04,Intel Celeron N4020 Celeron N4020 1.1 GHz,Intel UHD Graphics 600,4 GB,15.6,1920 x 1080 pixels,128 GB Emmc,Windows 11 Home,3.59 Pounds,229.0
60,ASUS,ROG Strix G15,AMD Ryzen 7 AMD Ryzen 7 6800H/HS Mobile 4.7 GHz,NVIDIA,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,,848.99
61,HP,ENVY,Intel Intel Core i7 Intel Core i7-1260P 3.4 GHz,Intel,32 GB,15.6 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,4.02 Pounds,949.99
62,acer,Chromebook Spin,Intel Celeron N4000 N4000 2.6 GHz,intel,4 GB,11.6 Inches,1366 x 768 pixels,64 GB SSD,Chrome OS,2.62 Pounds,195.0
63,SAMSUNG,Chromebook 4,Intel Celeron N4000 Celeron N4000 1.1 GHz,Intel HD Graphics 400,4 GB,11.6 Inches,720p,64 GB SSD,Chrome OS,3.45 Pounds,225.73
64,HP,HP Laptop 15-ef2024nr,AMD Ryzen 3 Ryzen 3 5300U 3.8 GHz,AMD Radeon Graphics,8 GB,15 Inches,1366 x 768,256 GB SSD,Windows 11 Home,3.75 Pounds,419.0
65,HP,6M0Z7UA#ABA,Intel Intel Core i5-1135G7 i5-1135G7 2.4 GHz,Intel,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.8 Pounds,458.0
66,HP,,Intel Intel Core i5 Intel 4.2 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11,3.72 Pounds,465.0
67,Lenovo,IdeaPad 3,Intel Celeron P4500 N4500 1.1 GHz,Intel,8 GB,15.6 Inches,1920 x 1080 pixels,64 GB Emmc,Chrome OS,5.5 Pounds,290.49
68,HP,HP Notebook,Intel Celeron 1.1 GHz,Intel UHD Graphics 600,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 10,1.78 Kilograms,359.99
69,HP,,AMD Athlon 3.2 GHz,AMD Athlon,4 GB,14 Inches,1366 x 768 pixels,128 GB SSD,Windows 10,1.51 Kilograms,199.0
70,Apple,,,Integrated,,13 Inches,,,Mac OS,,948.99
71,Lenovo,"Lenovo Ideapad 1 (14"", intel)",Intel Celeron N4020 N4020 1.1 GHz,Intel UHD Graphics 600,4 GB,14 Inches,1366 x 768,64 GB SSD,Windows 11,3 Pounds,175.0
72,acer,CP314-1H-P1Q5,Intel Pentium Pentium Silver N6000 3.3 GHz,Intel UHD Graphics,8 GB,14 Inches,1366 x 768 pixels,128 GB Emmc,Chrome OS,3.42 Pounds,390.2
73,ASUS,Chromebook Vibe C55 Flip,Intel Intel Core i5 Intel Core i5-1135G7 4.2 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Chrome OS,6.2 Pounds,699.99
74,HP,HP Laptop,Intel Core i5 1335U 4.6 GHz,Intel Iris Xe Graphics,12 GB,17.3 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,4.6 Pounds,583.0
75,ASUS,ASUS Chromebook,Intel Celeron N Intel Celeron N5100 1.1 GHz,Intel UHD Graphics,8 GB,11.6 Inches,1366 x 768 pixels,32 GB SSD,Chrome OS,2.89 Pounds,199.92
76,acer,CB315-4H-C6MH,Intel Celeron N N5100 2.8 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,64 GB SSD,Chrome OS,3.53 Pounds,279.99
77,HP,Dell Precision,AMD Intel Core i5-1135G7 4.2 GHz,Intel,8 GB,15.6 Inches,1920 x 1080,256 GB SSD,Windows 10 Home,454 Grams,417.0
78,ASUS,VivoBook 15,Intel Core i3 Core i3-1005G1 3.4 GHz,Intel UHD Graphics,4 GB,15.6 Inches,1920 x 1080,128 GB SSD,Windows 10 Home,4 Pounds,329.0
79,Dell,Dell Latitude,Intel Core i7-8650U 1.9 GHz,Intel Integrated Graphics,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,55.34 Ounces,374.69
80,Dell,Inspiron 3511,Intel Intel Core i5-1135G7 0000 4 GHz,Intel UHD Graphics,8 GB,15 Inches,1366 x 768 pixels,256 GB SSD,Windows 11 S,5.6 Pounds,426.0
81,DELL,Inspiron,AMD Ryzen 5 AMD Ryzen 5 5500U 2.1 GHz,AMD,16 GB,15.6 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3.7 Pounds,549.99
82,ROKC,Ideapad 3i,Intel Intel Core i3 Intel Core i3-1115G4 3 GHz,Intel,20 GB,15.6 Inches,,1000 GB SSD,Windows 11,3.6 Pounds,499.99
83,SAMSUNG,Wifi,Intel Celeron N4500 1.1 GHz,Chrome OS,8 GB,14 Inches,1920 x 1080 pixels,32 GB SSD,Chrome OS,3.2 Pounds,313.62
84,HP,TPN-I140_799**AV,AMD AMD Ryzen 7 7730U 4.5 GHz,AMD Radeon Graphics,12 GB,17.3 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,4.6 Pounds,649.49
85,LG,15Z90R-P.AAB7U1,Intel Core i7,Intel Iris,16 GB,15,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,2.51 Pounds,849.0
86,Lenovo,ideapad3i-14-i5,Intel Core i5-10210U i5-10210U 1.6 GHz,Intel UHD Graphics,8 GB,14 Inches,1920x1080,512 GB SSD,Windows 11 Home,3.3 Pounds,414.89
87,HP,HP 15,Intel Core I3 1115G4 1125G4 4.1 GHz,Intel UHD Graphics,8 GB,15.6,1920 x 1080 pixels,256 GB SSD,Windows 10,4.4 Pounds,375.0
88,HP,Pavilion,AMD Ryzen 3 5300U ryzen 3 2.6 GHz,AMD Radeon Graphics,16 GB,15.6 Inches,1366 x 768,1 TB SSD,Windows 11,3.8 Pounds,399.99
89,HP,HP Chromebook,Intel Celeron N3350 Celeron N3350 1.1 GHz,Intel HD Graphics 500,32 GB,11.6 Inches,1366 x 768 pixels,32 GB hybrid,Chrome OS,3 Pounds,158.0
90,DELL,Inspiron,Intel Intel Core i5 Intel Core i5-1235U 3.3 GHz,Intel,32 GB,16 Inches,1920 x 1200 pixels,1000 GB SSD,Windows 11,4.1 Pounds,899.99
91,ASUS,VivoBook,Intel Core i3 Family 1115G4 3 GHz,Intel UHD Graphics,12 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,4 Pounds,395.0
92,acer,A515-46-R3CZ,AMD Ryzen 7 Ryzen 7 3700U 4 GHz,AMD Radeon RX Vega 10,8 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows,4 Pounds,469.98
93,SAMSUNG,Wifi,Intel Celeron N4500 1.1 GHz,Chrome OS,8 GB,14 Inches,1920 x 1080 pixels,32 GB SSD,Chrome OS,3.2 Pounds,313.62
94,HP,HP Chromebook,Intel Celeron N3350 Celeron N3350 1.1 GHz,Intel HD Graphics 500,32 GB,11.6 Inches,1366 x 768 pixels,32 GB hybrid,Chrome OS,3 Pounds,158.0
95,Lenovo,Newest Flagship Lenovo Chromebook,MediaTek Cortex MediaTek Kompanio 520 2 GHz,Integrated ARM Mali-G52 2EE MC2 GPU,4 GB,14 Inches,1920 x 1080 pixels,64 GB Emmc,Chrome OS,2.9 Pounds,239.0
96,DELL,Inspiron,Intel Intel Core i7 Intel Core i7-1355U 3.7 GHz,Intel,32 GB,15.6 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3.6 Pounds,949.99
97,HP,14-fq1003cl,AMD Ryzen 3 AMD Ryzen™ 3 5300U 2.6 GHz,AMD,16 GB,14 Inches,1366 x 768 pixels,1000 GB SSD,Windows 11,3.11 Pounds,499.99
98,LG,14Z90R-K.ADB9U1,Intel Core i7,Intel Iris,32 GB,14,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,2.2 Pounds,1562.04
99,Dell,Latitude 5420 Laptop,Intel Core i7 1.2 GHz,Intel Integrated Graphics,32 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,3 Pounds,1097.24
100,HP,14-dq0054dx,Intel Celeron N4000 Intel Celeron N4120 1.1 GHz,Intel,16 GB,14 Inches,1366 x 768 pixels,64 GB SSD,Windows 11,0.6 Ounces,399.99
101,acer,A515-56-702V,Intel Intel Core i7 i7-1165G7 4.7 GHz,AMD Radeon,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows,1.65 Kilograms,549.99
102,SAMSUNG,Chromebook 4,Intel Celeron N3450 Celeron N4000 1.1 GHz,Intel Celeron Processor N4000,4 GB,11.6 Inches,,32 GB SSD,Chrome OS,2.6 Pounds,170.0
103,ASUS,VivoBook 15,Intel Core i3 Core i3-1005G1 3.4 GHz,Intel UHD Graphics,4 GB,15.6 Inches,1920 x 1080,128 GB SSD,Windows 10 Home,4 Pounds,329.0
104,MSI,Prestige 14Evo B13M-498US,Intel Core i7 i7-13700H 3.7 GHz,Intel,32 GB,14 Inches,1920 x 1080 pixels,,Windows 11 Home,,999.0
105,SAMSUNG,XE530QDA-KB1US,Intel Core i3 Intel Core i3-10110U Processor 2.1 GHz,Intel UHD Graphics,16 GB,13.3,1920 x 1080 pixels,,Chrome OS,3.7 Pounds,689.99
106,HP,HP 15,Intel Core I3 1115G4 1125G4 4.1 GHz,Intel UHD Graphics,8 GB,15.6,1920 x 1080 pixels,256 GB SSD,Windows 10,4.4 Pounds,375.0
107,acer,Spin 311 3H,ARM MediaTek MT8183 MediaTek MT8183C 2 GHz,ARM Mali-G72 MP3 Graphics,4 GB,11.6 Inches,1366x768,64 GB Emmc,Chrome OS,2 Pounds,202.0
108,HP,HP,Intel Pentium Other Intel Processor N200 1.1 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1366 x 768 pixels,128 GB UFS,Windows 11 Home,,339.99
109,HP,14-es0033dx,Intel Core i5 i5 1235U 3.9 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1080 pixels,1024 GB SSD,Windows 11 Home,1.5 Kilograms,876.49
110,HP,HP laptop 15.6,Intel Intel Pentium II N200 2 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1366 x 768 pixels,128 GB SSD,Windows 11,3.5 Pounds,349.99
111,Dell,Inspiron,AMD Ryzen 5 AMD Ryzen 5 2.1 GHz,AMD Radeon Graphics,32 GB,15.6 Inches,1366 x 768 pixels,1 TB SSD,Windows 11 Home,1.8 Kilograms,451.0
112,acer,Chromebook Spin 311,Intel Celeron Celeron N4020 2.8 GHz,Mediatek,4 GB,11.6 Inches,1366 x 768 pixels,32 GB Embedded MultiMediaCard,Chrome OS,2.7 Pounds,281.35
113,Dell,Dell Inspiron 15 3000 3520 Laptop,Intel Core i7 i7-1255U 3.5 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920x1080,512 GB SSD,Windows 11,3.65 Pounds,669.0
114,Lenovo,Lenovo Ideapad,Intel Core I3 1115G4 1115G4 4.1 GHz,Intel UHD Graphics,4 GB,14 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11 Home,3.3 Pounds,329.0
115,HP,"HP 17.3""",Intel Core i3 1125G4 3.7 GHz,Intel UHD Graphics,16 GB,17.3 Inches,1600 x 900 pixels,1 TB SSD,Windows 11,4.6 Pounds,530.99
116,SAMSUNG,,Intel Intel Core i7 1360P,Integrated,16 GB,14 Inches,,16 GB SSD,Windows 11 Home,2.1 Kilograms,1413.89
117,HP,HP,Intel Intel Core i5-1135G7 i5-1135G7 2.4 GHz,Intel Iris Xe Graphics,16 GB,17 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,6.5 Pounds,604.79
118,Core Innovations,"14.1"" Laptop with Windows 10 S",Intel Celeron N3350 N3350 2.4 GHz,Intel HD Graphics 500,3 GB,14.1 Inches,1366 x 768 pixels,,Windows 10 Home,3.5 Pounds,99.0
119,Lenovo,IdeaPad,Intel Core i5 Family 1135G7 2.4 GHz,Intel Iris Xe Graphics,20 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.1 Pounds,509.0
120,acer,Swift Go 16,Intel Intel Core i5 i5-1335U 4.6 GHz,Intel Iris Xe Graphics,8 GB,16 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Home,3.53 Pounds,549.99
121,HP,TPN-I139_320M3AV,Intel Core i3 Family 1125G4 2 GHz,Intel UHD Graphics,8 GB,17.3 Inches,1600 x 900 pixels,256 GB SSD,Windows 11 Home,4.6 Pounds,438.09
122,acer,SF314-511-7412,core_i7 Intel Core i7-1165G7 4.7 GHz,Intel Iris Xe Graphics,8 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10,2.7 Pounds,565.0
123,ASUS,Zenbook 15,AMD Ryzen 5 AMD Ryzen 5 7535U Mobile 4.6 GHz,AMD Radeon Graphics 5,16 GB,16 Inches,1920 x 1080 pixels,,Windows 11 Home,3.09 Pounds,699.99
124,Lenovo,Lenovo 14W,AMD AMD A6 AMD A6 1.8 GHz,AMD Radeon Graphics,4 GB,14 Inches,1920 x 1080 pixels,64 GB SSD,Windows 10 Pro,3.3 Pounds,199.0
125,acer,Aspire Vero,Intel Intel Core i5 Core i5-1235U 3.3 GHz,Intel Iris Xe Graphics,20 GB,15.6 Inches,1920x1080,2 TB SSD,Windows 11 Home,3.9 Pounds,644.99
126,HP,HP Pavilion Plus Laptop 14-ey0010nr,AMD Unknown 7540U 4.9 GHz,AMD Radeon 740M Graphics,16 GB,14 Inches,1920 x 1200,512 GB 512 GB PCIe NVMe M.2 SSD,Windows 11 Home,3.19 Pounds,723.99
127,Dell,Dell Latitude,Intel Core i5-9400F 7300U 2.5 GHz,Intel UHD Graphics 630,32 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 10 Pro,4 Pounds,436.98
128,acer,A514-56M-71A9,Intel Core i7 i7-1355U 5 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Home,3.26 Pounds,799.99
129,ASUS,Zenbook 14 Flip,Intel Core i7 Intel Core i7-1360P 5 GHz,Intel Iris,16 GB,14 Inches,2560 x 1600 pixels,,Windows 11 Home,6.5 Pounds,1199.99
130,HP,HP 14 Ryzen 3,AMD Ryzen 3 3250U RYZEN 3 3250U 2.6 GHz,AMD Radeon™ Graphics,8 GB,14 Inches,1360x768,128 GB SSD,Windows 10 S,3.24 Pounds,299.0
131,ROKC,ThinkPad L13 YOGA,Intel Intel Core i7 Intel Core i7-1165G7 2.8 GHz,Intel,16 GB,13.3 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11 Pro,3.2 Pounds,749.99
132,ASUS,ASUS Vivobook,AMD Ryzen 7 5800HS 4.4 GHz,AMD Radeon Graphics,16 GB,16 Inches,1600 x 768 pixels,512 GB SSD,Windows 11 Home,4.1 Pounds,579.99
133,ASUS,Vivobook 15X,AMD Ryzen 7 Ryzen 7 7730U Mobile 4.5 GHz,AMD Radeon Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,5.2 Pounds,799.99
134,HP,HP 15 Laptop,Intel Core i5 1335U 4.6 GHz,Intel Iris Xe Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 S,3.5 Pounds,522.49
135,acer,A515-56-32DK,Intel Core i3 4.1 GHz,Intel UHD Graphics,4 GB,15.6 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11 Home,5.4 Pounds,355.0
